Date, Event, Type, Actors, Amount, Confidence, Source

1976-12-01,Trump partners with Hyatt to buy Commodore Hotel,Real Estate Purchase/Partnership,"Trump Org; Hyatt Corp; Conrail","$10M purchase + $70M refurb",High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html

1980-02-01,Trump Tower groundbreaking begins,Real Estate Development,"Trump Org; HRH Construction; Lenders",$200M project est.,High,https://www.nytimes.com/1980/02/01/business/trump-tower-groundbreaking.html

1981-08-01,Trump Tower opens; early condo sales,Real Estate Sale,"Trump Tower; Various Buyers",$300M total sales,High,https://www.architecturaldigest.com/story/trump-tower-history

1983-12-01,Trump buys unfinished Taj Mahal casino site from Resorts International,Real Estate Purchase,"Trump Org; Resorts International",$250M initial budget,High,https://www.nytimes.com/1988/01/01/business/trump-taj-mahal.html

1984-05-14,Trump Plaza casino opens,Business Launch,"Trump Org; Harrah's (Holiday Inn)",$210M construction,High,https://www.nytimes.com/1984/05/14/business/trump-plaza-opens.html

1984-07-01,David Bogatin purchases 5 condos in Trump Tower,Real Estate Sale,"Trump Tower; David Bogatin",$6M total,High,https://newrepublic.com/article/143586/trumps-russian-laundromat-trump-tower-luxury-high-rises-dirty-money-international-crime-syndicate

1985-06-01; Trump acquires Mar-a-Lago estate in Palm Beach for redevelopment; major liquidity commitment during casino build-out. Real Estate Purchase; Trump Org; Estate of Marjorie Post; $8M ($5M house + $3M furnishings) High https://www.palmbeachpost.com/story/news/2021/07/15/donald-trump-bought-mar-a-lago-1985/7978903002/

1986-04-01; Trump purchases full ownership of Trump Plaza Hotel & Casino (NYC) from Holiday Inn partnership; consolidates control amid expansion; Business Acquisition; Trump Org; Holiday Inn; $400M total project value; High https://www.nytimes.com/1986/04/10/nyregion/trump-buys-holiday-inn-s-share-in-manhattan-hotel-casino.html

1987-03-01; Trump launches Trump Shuttle airline with 21 Boeing 727s; financed via high-yield bonds during casino peak Business Launch/Financing; Trump Org; Bondholders; Eastern Air Lines; $365M purchase + $300M upgrades; High; https://www.nytimes.com/1989/06/08/business/trump-shuttle-is-up-for-sale.html

1988-01-01; Trump completes Taj Mahal construction financing with $675M in 14% junk bonds led by Merrill Lynch.; Loan/Financing; Trump Org; Merrill Lynch; Bondholders
$675M; High; https://www.wsj.com/articles/SB10001424052748704104104575021753388877900

1988-10-01 ; Trump sells Plaza Hotel penthouse to Saudi businessman Adnan Khashoggi for record price; provides critical cash during Taj build; Real Estate Sale; Trump Org; Adnan Khashoggi; $24M; High; https://www.nytimes.com/1988/10/07/business/trump-sells-plaza-hotel-penthouse-for-24-million.html

1989-11-01; Trump negotiates $65M personal loan from bankers to cover Taj Mahal cost overruns; first sign of leverage strain; Personal Loan; Donald Trump; Consortium of Banks
$65M; High; https://www.nytimes.com/1990/06/15/business/trump-s-latest-financing-65-million-in-loans.html

1990-04-10,Trump Taj Mahal casino opens with junk bond financing,Loan/Financing,"Trump Organization; Bondholders",$675M at 14% interest,High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html

1990-06-15,Trump negotiates debt restructuring with 70+ banks,Debt Restructuring,"Trump Organization; 70+ banks",$3.4B total debt,High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html

1990-12-20,Fred Trump buys $3.3M in chips at Trump Castle to cover interest payment,Family Infusion,"Fred Trump; Trump Castle",$3.3M cash equivalent,High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html

1991-07-01,Trump Taj Mahal files Chapter 11 bankruptcy,Bankruptcy,"Trump Taj Mahal; Bondholders",$3B debt restructured,High,https://www.politifact.com/factchecks/2016/jun/21/hillary-clinton/yep-donald-trumps-companies-have-declared-bankrupt/

1992-03-01,Trump Plaza Hotel (NYC) files Chapter 11 bankruptcy,Bankruptcy,"Trump Plaza Hotel; 6 lenders",$550M debt,High,https://www.presidency.ucsb.edu/documents/press-release-senator-mar identify-rubio-issues-statement-trump-campaigns-response-fbi

1992-03-01,Trump Castle and Trump Plaza (Atlantic City) file Chapter 11,Bankruptcy,"Trump Casinos; Creditors",Operational debt,High,https://www.politifact.com/factchecks/2016/jun/21/hillary-clinton/yep-donald-trumps-companies-have-declared-bankrupt/

1993-04-23,Trump flies on Epstein jet (Palm Beach to Teterboro),Personal Travel,"Donald Trump; Jeffrey Epstein",N/A,High,https://abcnews.go.com/US/times-trumps-appeared-epstein-files-doj-released/story?id=123848078

1993-10-11,Trump flies on Epstein jet (NYC route),Personal Travel,"Donald Trump; Jeffrey Epstein",N/A,High,https://www.nytimes.com/2025/07/17/us/politics/timeline-trump-epstein.html

1993-10-17,Trump flies on Epstein jet (NYC route),Personal Travel,"Donald Trump; Jeffrey Epstein",N/A,High,https://nymag.com/intelligencer/article/epstein-documents-trump.html

1994-05-15,Trump flies on Epstein jet (Palm Beach to NYC),Personal Travel,"Donald Trump; Jeffrey Epstein",N/A,High,https://www.businessinsider.com/donald-eric-trump-private-jet-jeffrey-epstein-ghislaine-maxwell-trial-2021-12

1995-01-01,Trump reports $916M loss on tax return,Tax Reporting,Donald Trump (personal),$916M loss,High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html

1995-08-13,Trump flies on Epstein jet (NYC route),Personal Travel,"Donald Trump; Jeffrey Epstein",N/A,High,https://www.forbes.com/sites/saradorn/2025/07/24/heres-every-known-link-between-trump-and-epstein-resurfaced-footage-shows-epstein-talking-about-socializing-with-trump/

1997-01-05,Final documented Epstein jet flight with Trump,Personal Travel,"Donald Trump; Jeffrey Epstein",N/A,High,https://www.forbes.com/sites/saradorn/2025/07/24/heres-every-known-link-between-trump-and-epstein-resurfaced-footage-shows-epstein-talking-about-socializing-with-trump/

1997-11-22,"Trump siblings gain ownership of most of Fred Trump's real estate empire through GRAT transfers, providing significant asset infusion during recovery.","Asset Transfer/Family Infusion","Donald Trump; Siblings; Fred Trump Estate","~41.4M claimed value (later $900M appraisal)",High,https://www.nytimes.com/interactive/2018/10/02/us/politics/donald-trump-tax-schemes-fred-trump.html

1998-01-01,Trump secures $425M loan from Deutsche Bank for real estate projects, marking a key financing partnership post-casino struggles.,Loan/Financing,"Trump Org; Deutsche Bank",$425M,High,https://en.wikipedia.org/wiki/The_Trump_Organization

1998-10-01,Trump World Tower construction begins at 845 UN Plaza, a major Manhattan project revitalizing the brand.,Real Estate Development,"Trump Org; Lenders","$250M est. project cost",High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

1999-06-01,Trump casinos report $40M losses amid competitive pressures, but ongoing operations provide steady revenue stream.,Financial Reporting,"Trump Hotels & Casinos; Creditors",$40M loss,High,https://www.nytimes.com/2016/06/12/nyregion/donald-trump-atlantic-city.html

2000-08-01,Mary Trump passes away, leading to estate closure in 2004 and further family asset distribution supporting Trump's ventures.,Estate Settlement,"Mary Trump Estate; Trump Family",Undisclosed inheritance,High,https://www.nytimes.com/interactive/2018/10/02/us/politics/donald-trump-tax-schemes-fred-trump.html

2002-05-01,Trump sells land under Empire State Building, merging lease for the first time in 50 years and generating substantial proceeds.,Real Estate Sale,"Trump Org; Boston Properties",$125M,High,https://www.trump.com/timeline

2003-01-01,Trump partners with Canouan Resorts for Trump Club Privee casino and golf course development in St. Vincent and the Grenadines.,Partnership/Development,"Trump Org; Canouan Resorts Development",Undisclosed (25 villas + golf course),High,https://www.usatoday.com/pages/interactives/trumps-10-foreign-deals-with-close-to-power/

2003-07-01,Trump and partners sell General Motors Building for record $1.4B, providing major liquidity boost from 1998 investment.,Real Estate Sale,"Trump Org; Conseco; Macklowe Organization","$1.4B (Trump stake ~$500M est.)",High,https://en.wikipedia.org/wiki/Business_career_of_Donald_Trump

2004-11-01,Trump calls Epstein twice (last documented contact before falling out),Personal Contact,"Donald Trump; Jeffrey Epstein",N/A,High,https://www.businessinsider.com/trump-epstein-friendship-timeline-history-2019-7

2004-11-21,Trump Hotels and Casinos Resorts files Chapter 11 bankruptcy,Bankruptcy,"Trump Hotels & Casinos; Creditors",$1.8B debt restructured,High,https://www.abi.org/feed-item/examining-donald-trump%E2%80%99s-chapter-11-bankruptcies

2004-12-01,Trump and Epstein fall out over Palm Beach mansion bid,Social Break,"Donald Trump; Jeffrey Epstein",N/A,High,https://www.businessinsider.com/trump-epstein-friendship-timeline-history-2019-7

2005-01-01,Trump signs licensing deal with Bayrock (Russian/Kazakh ties) for Moscow tower,Partnership,"Trump Org; Bayrock Group",N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2005-06-01,Trump and Ivanka meet Panamanian developer for Trump Ocean Club,Partnership,"Trump Org; Roger Khafif",N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2006-01-01,Felix Sater plans Ivanka Trump Moscow trip (sits in Putin's chair),Partnership/Travel,"Trump Org; Felix Sater; Bayrock",N/A,Medium,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2006-06-01,Trump SoHo licensing deal with Bayrock/Sapir (marketed to Russians),Partnership,"Trump Org; Bayrock; Felix Sater; Sapir Org",N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2007-01-01,Trump calls Russia ""one of the hottest places for investment"",Public Statement,Donald Trump,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

