Date, Event, Type, Actors, Amount, Confidence, Source
1976-12-01,Trump partners with Hyatt to buy Commodore Hotel,Real Estate Purchase/Partnership,Trump Org; Hyatt Corp; Conrail,$10M purchase + $70M refurb,High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html
1980-02-01,Trump Tower groundbreaking begins,Real Estate Development,Trump Org; HRH Construction; Lenders,$200M project est.,High,https://www.nytimes.com/1980/02/01/business/trump-tower-groundbreaking.html
1981-08-01,Trump Tower opens; early condo sales,Real Estate Sale,Trump Tower; Various Buyers,$300M total sales,High,https://www.architecturaldigest.com/story/trump-tower-history
1983-12-01,Trump buys unfinished Taj Mahal casino site from Resorts International,Real Estate Purchase,Trump Org; Resorts International,$250M initial budget,High,https://www.nytimes.com/1988/01/01/business/trump-taj-mahal.html
1984-05-14,Trump Plaza casino opens,Business Launch,Trump Org; Harrah's (Holiday Inn),$210M construction,High,https://www.nytimes.com/1984/05/14/business/trump-plaza-opens.html
1984-07-01,David Bogatin purchases 5 condos in Trump Tower,Real Estate Sale,Trump Tower; David Bogatin,$6M total,High,https://newrepublic.com/article/143586/trumps-russian-laundromat-trump-tower-luxury-high-rises-dirty-money-international-crime-syndicate
1990-04-10,Trump Taj Mahal casino opens with junk bond financing,Loan/Financing,Trump Organization; Bondholders,$675M at 14% interest,High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html
1990-06-15,Trump negotiates debt restructuring with 70+ banks,Debt Restructuring,Trump Organization; 70+ banks,$3.4B total debt,High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html
1990-12-20,Fred Trump buys $3.3M in chips at Trump Castle to cover interest payment,Family Infusion,Fred Trump; Trump Castle,$3.3M cash equivalent,High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html
1991-07-01,Trump Taj Mahal files Chapter 11 bankruptcy,Bankruptcy,Trump Taj Mahal; Bondholders,$3B debt restructured,High,https://www.politifact.com/factchecks/2016/jun/21/hillary-clinton/yep-donald-trumps-companies-have-declared-bankrupt/
